# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.953
 8.8571      0.026         12.349
 8.7857      0.032         15.701
 8.7143      0.038         19.001
 8.6429      0.045         22.241
 8.5714      0.051         25.409
 8.5000      0.057         28.486
 8.4286      0.063         31.450
 8.3571      0.069         34.264
 8.2857      0.075         36.873
 8.2143      0.082         39.175
 8.1429      0.088         40.961
 8.0714      0.094         41.642
 8.0000      0.100         35.419
