# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.100
 8.8571      0.026          9.832
 8.7857      0.032         11.537
 8.7143      0.038         13.209
 8.6429      0.045         14.842
 8.5714      0.051         16.430
 8.5000      0.057         17.962
 8.4286      0.063         19.424
 8.3571      0.069         20.795
 8.2857      0.075         22.043
 8.2143      0.082         23.112
 8.1429      0.088         23.892
 8.0714      0.094         24.102
 8.0000      0.100         22.294
