# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.453
 8.8571      0.026         11.309
 8.7857      0.032         14.126
 8.7143      0.038         16.898
 8.6429      0.045         19.616
 8.5714      0.051         22.269
 8.5000      0.057         24.844
 8.4286      0.063         27.318
 8.3571      0.069         29.661
 8.2857      0.075         31.823
 8.2143      0.082         33.717
 8.1429      0.088         35.164
 8.0714      0.094         35.665
 8.0000      0.100         30.961
