# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.680
 8.8571      0.026         10.522
 8.7857      0.032         13.326
 8.7143      0.038         16.086
 8.6429      0.045         18.793
 8.5714      0.051         21.438
 8.5000      0.057         24.005
 8.4286      0.063         26.475
 8.3571      0.069         28.817
 8.2857      0.075         30.982
 8.2143      0.082         32.885
 8.1429      0.088         34.351
 8.0714      0.094         34.885
 8.0000      0.100         30.000
