# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.318
 8.8571      0.026         12.204
 8.7857      0.032         16.042
 8.7143      0.038         19.824
 8.6429      0.045         23.541
 8.5714      0.051         27.179
 8.5000      0.057         30.719
 8.4286      0.063         34.136
 8.3571      0.069         37.390
 8.2857      0.075         40.421
 8.2143      0.082         43.116
 8.1429      0.088         45.247
 8.0714      0.094         46.158
 8.0000      0.100         38.319
