# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.878
 8.8571      0.026          9.956
 8.7857      0.032         12.003
 8.7143      0.038         14.013
 8.6429      0.045         15.981
 8.5714      0.051         17.897
 8.5000      0.057         19.750
 8.4286      0.063         21.523
 8.3571      0.069         23.193
 8.2857      0.075         24.722
 8.2143      0.082         26.044
 8.1429      0.088         27.025
 8.0714      0.094         27.310
 8.0000      0.100         24.626
