# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.964
 8.8571      0.026         10.424
 8.7857      0.032         12.850
 8.7143      0.038         15.235
 8.6429      0.045         17.572
 8.5714      0.051         19.852
 8.5000      0.057         22.061
 8.4286      0.063         24.182
 8.3571      0.069         26.186
 8.2857      0.075         28.031
 8.2143      0.082         29.640
 8.1429      0.088         30.856
 8.0714      0.094         31.250
 8.0000      0.100         27.488
