# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.586
 8.8571      0.026         11.830
 8.7857      0.032         15.032
 8.7143      0.038         18.184
 8.6429      0.045         21.278
 8.5714      0.051         24.301
 8.5000      0.057         27.238
 8.4286      0.063         30.066
 8.3571      0.069         32.750
 8.2857      0.075         35.235
 8.2143      0.082         37.426
 8.1429      0.088         39.122
 8.0714      0.094         39.760
 8.0000      0.100         33.933
