# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.309
 8.8571      0.026         12.175
 8.7857      0.032         15.994
 8.7143      0.038         19.759
 8.6429      0.045         23.460
 8.5714      0.051         27.084
 8.5000      0.057         30.612
 8.4286      0.063         34.020
 8.3571      0.069         37.269
 8.2857      0.075         40.297
 8.2143      0.082         42.997
 8.1429      0.088         45.141
 8.0714      0.094         46.077
 8.0000      0.100         38.017
