# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.933
 8.8571      0.026          9.082
 8.7857      0.032         10.209
 8.7143      0.038         11.312
 8.6429      0.045         12.387
 8.5714      0.051         13.427
 8.5000      0.057         14.427
 8.4286      0.063         15.376
 8.3571      0.069         16.260
 8.2857      0.075         17.058
 8.2143      0.082         17.734
 8.1429      0.088         18.225
 8.0714      0.094         18.384
 8.0000      0.100         17.714
