# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.240
 8.8571      0.026         11.694
 8.7857      0.032         15.102
 8.7143      0.038         18.457
 8.6429      0.045         21.750
 8.5714      0.051         24.968
 8.5000      0.057         28.093
 8.4286      0.063         31.102
 8.3571      0.069         33.958
 8.2857      0.075         36.603
 8.2143      0.082         38.936
 8.1429      0.088         40.747
 8.0714      0.094         41.444
 8.0000      0.100         35.316
