# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.890
 8.8571      0.026          9.875
 8.7857      0.032         11.829
 8.7143      0.038         13.748
 8.6429      0.045         15.626
 8.5714      0.051         17.454
 8.5000      0.057         19.221
 8.4286      0.063         20.913
 8.3571      0.069         22.504
 8.2857      0.075         23.960
 8.2143      0.082         25.217
 8.1429      0.088         26.147
 8.0714      0.094         26.410
 8.0000      0.100         23.897
