# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.371
 8.8571      0.026          8.709
 8.7857      0.032         10.030
 8.7143      0.038         11.328
 8.6429      0.045         12.600
 8.5714      0.051         13.841
 8.5000      0.057         15.043
 8.4286      0.063         16.197
 8.3571      0.069         17.285
 8.2857      0.075         18.284
 8.2143      0.082         19.150
 8.1429      0.088         19.791
 8.0714      0.094         19.958
 8.0000      0.100         17.840
