# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.399
 8.8571      0.026          9.526
 8.7857      0.032         11.622
 8.7143      0.038         13.682
 8.6429      0.045         15.698
 8.5714      0.051         17.664
 8.5000      0.057         19.566
 8.4286      0.063         21.389
 8.3571      0.069         23.109
 8.2857      0.075         24.687
 8.2143      0.082         26.056
 8.1429      0.088         27.081
 8.0714      0.094         27.394
 8.0000      0.100         24.438
