# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.023
 8.8571      0.026         10.703
 8.7857      0.032         13.346
 8.7143      0.038         15.947
 8.6429      0.045         18.496
 8.5714      0.051         20.984
 8.5000      0.057         23.397
 8.4286      0.063         25.716
 8.3571      0.069         27.910
 8.2857      0.075         29.934
 8.2143      0.082         31.705
 8.1429      0.088         33.055
 8.0714      0.094         33.515
 8.0000      0.100         29.196
