# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.062
 8.8571      0.026         10.911
 8.7857      0.032         13.722
 8.7143      0.038         16.490
 8.6429      0.045         19.206
 8.5714      0.051         21.861
 8.5000      0.057         24.440
 8.4286      0.063         26.923
 8.3571      0.069         29.279
 8.2857      0.075         31.461
 8.2143      0.082         33.384
 8.1429      0.088         34.869
 8.0714      0.094         35.419
 8.0000      0.100         30.269
