# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.943
 8.8571      0.026         11.182
 8.7857      0.032         12.397
 8.7143      0.038         13.586
 8.6429      0.045         14.743
 8.5714      0.051         15.863
 8.5000      0.057         16.938
 8.4286      0.063         17.957
 8.3571      0.069         18.906
 8.2857      0.075         19.760
 8.2143      0.082         20.482
 8.1429      0.088         21.004
 8.0714      0.094         21.175
 8.0000      0.100         20.508
