# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.335
 8.8571      0.026          9.287
 8.7857      0.032         11.210
 8.7143      0.038         13.098
 8.6429      0.045         14.947
 8.5714      0.051         16.746
 8.5000      0.057         18.487
 8.4286      0.063         20.153
 8.3571      0.069         21.722
 8.2857      0.075         23.158
 8.2143      0.082         24.399
 8.1429      0.088         25.321
 8.0714      0.094         25.590
 8.0000      0.100         23.078
