# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.309
 8.8571      0.026         12.184
 8.7857      0.032         16.012
 8.7143      0.038         19.786
 8.6429      0.045         23.497
 8.5714      0.051         27.131
 8.5000      0.057         30.670
 8.4286      0.063         34.089
 8.3571      0.069         37.351
 8.2857      0.075         40.394
 8.2143      0.082         43.109
 8.1429      0.088         45.270
 8.0714      0.094         46.225
 8.0000      0.100         38.017
