# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.640
 8.8571      0.026         12.067
 8.7857      0.032         15.449
 8.7143      0.038         18.779
 8.6429      0.045         22.049
 8.5714      0.051         25.246
 8.5000      0.057         28.353
 8.4286      0.063         31.346
 8.3571      0.069         34.190
 8.2857      0.075         36.828
 8.2143      0.082         39.159
 8.1429      0.088         40.972
 8.0714      0.094         41.678
 8.0000      0.100         35.316
