# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.589
 8.8571      0.026          9.129
 8.7857      0.032         10.643
 8.7143      0.038         12.128
 8.6429      0.045         13.578
 8.5714      0.051         14.986
 8.5000      0.057         16.344
 8.4286      0.063         17.638
 8.3571      0.069         18.850
 8.2857      0.075         19.951
 8.2143      0.082         20.892
 8.1429      0.088         21.577
 8.0714      0.094         21.763
 8.0000      0.100         20.307
