# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.378
 8.8571      0.026         12.182
 8.7857      0.032         15.936
 8.7143      0.038         19.634
 8.6429      0.045         23.266
 8.5714      0.051         26.816
 8.5000      0.057         30.268
 8.4286      0.063         33.596
 8.3571      0.069         36.759
 8.2857      0.075         39.696
 8.2143      0.082         42.297
 8.1429      0.088         44.334
 8.0714      0.094         45.161
 8.0000      0.100         38.010
