# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.484
 8.8571      0.026         12.019
 8.7857      0.032         15.510
 8.7143      0.038         18.948
 8.6429      0.045         22.325
 8.5714      0.051         25.628
 8.5000      0.057         28.839
 8.4286      0.063         31.935
 8.3571      0.069         34.879
 8.2857      0.075         37.613
 8.2143      0.082         40.034
 8.1429      0.088         41.928
 8.0714      0.094         42.690
 8.0000      0.100         35.926
