# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.133
 8.8571      0.026         12.976
 8.7857      0.032         16.774
 8.7143      0.038         20.517
 8.6429      0.045         24.197
 8.5714      0.051         27.801
 8.5000      0.057         31.310
 8.4286      0.063         34.699
 8.3571      0.069         37.931
 8.2857      0.075         40.943
 8.2143      0.082         43.626
 8.1429      0.088         45.754
 8.0714      0.094         46.670
 8.0000      0.100         38.593
