# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.522
 8.8571      0.026          9.878
 8.7857      0.032         12.201
 8.7143      0.038         14.484
 8.6429      0.045         16.722
 8.5714      0.051         18.904
 8.5000      0.057         21.019
 8.4286      0.063         23.048
 8.3571      0.069         24.965
 8.2857      0.075         26.730
 8.2143      0.082         28.267
 8.1429      0.088         29.429
 8.0714      0.094         29.805
 8.0000      0.100         26.261
